Page Id	URL	Name	Type Attr	Value
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:People_from_Nogales,_Arizona
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:Post-bop_double-bassists
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:Progressive_big_band_bandleaders
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:Savoy_Records_artists
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:Third_Stream_musicians
page-533	Charles_Mingus	Charles Mingus	dct:subject	dbc:University_at_Buffalo_faculty
page-804	Drum_and_bass	Drum and bass	dct:subject	dbc:1990s_in_music
page-804	Drum_and_bass	Drum and bass	dct:subject	dbc:2010s_in_music
page-804	Drum_and_bass	Drum and bass	dct:subject	dbc:Breakbeat
page-804	Drum_and_bass	Drum and bass	dct:subject	dbc:Drum_and_bass
page-804	Drum_and_bass	Drum and bass	dct:subject	dbc:Electronic_dance_music_genres
page-804	Drum_and_bass	Drum and bass	dct:subject	dbc:English_styles_of_music
page-804	Drum_and_bass	Drum and bass	dct:subject	dbc:Music_in_London
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:1920_births
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:2012_deaths
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:American_Roman_Catholics
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:American_jazz_composers
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:American_jazz_pianists
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:American_jazz_songwriters
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:American_military_personnel_of_World_War_II
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:American_people_of_English_descent
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:American_people_of_German_descent
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:American_people_of_Swiss-German_descent
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Bebop_ensembles
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Concord_Records_artists
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Converts_to_Roman_Catholicism
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Cool_jazz_pianists
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Fellows_of_the_American_Academy_of_Arts_and_Sciences
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Grammy_Lifetime_Achievement_Award_winners
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Jazz_musicians_from_California
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Kennedy_Center_honorees
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Laetare_Medal_recipients
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Musicians_from_Norwalk,_Connecticut
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Musicians_from_the_San_Francisco_Bay_Area
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:People_from_Concord,_California
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Phi_Kappa_Phi
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Pupils_of_Arnold_Schoenberg
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Pupils_of_Darius_Milhaud
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Ragtime_composers
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:Sony_Classical_Records_artists
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:United_States_Army_soldiers
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:United_States_National_Medal_of_Arts_recipients
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:University_of_the_Pacific_(United_States)_alumni
page-685	Dave_Brubeck	Dave Brubeck	dct:subject	dbc:West_Coast_jazz_pianists
page-781	Double_bass	Double bass	dct:subject	dbc:Bass_(sound)
page-781	Double_bass	Double bass	dct:subject	dbc:Bowed_instruments
page-781	Double_bass	Double bass	dct:subject	dbc:C_instruments
page-781	Double_bass	Double bass	dct:subject	dbc:Compositions_for_double_bass
page-781	Double_bass	Double bass	dct:subject	dbc:Continuous_pitch_instruments
page-781	Double_bass	Double bass	dct:subject	dbc:Contrabass_instruments
page-781	Double_bass	Double bass	dct:subject	dbc:Double-bassists
