URL	Name	Subject	Section Header	Section Index	PageViews		Name Override	Subject Re-mapping	Section Re-mapping	Omit	miles_work
1001_Albums_You_Must_Hear_Before_You_Die	1001 Albums You Must Hear Before You Die	works	artists	13	122784			books			
33%E2%85%93	33⅓	works	published titles	5	25846			books			
Lydian_Chromatic_Concept_of_Tonal_Organization	Lydian Chromatic Concept of Tonal Organization	works	influence	15	12090			books			
Lydian_Chromatic_Concept_of_Tonal_Organization	Lydian Chromatic Concept of Tonal Organization	works	influence	15	12090			books			
Fela!	Fela!	works	plot	25	10120			books			
Cultural_Amnesia_(book)	Cultural Amnesia (book)	works	contents	4	4625			books			
Lunch_Poems	Lunch Poems	works	first paragraph	0	4236			books			
Bibliography_of_jazz	Bibliography of jazz	works	biographical	19	2613			books			
1991	1991	other	deaths	130	93302			events			
1991	1991	other	deaths	130	93302			events			
1991	1991	other	deaths	131	93302			events			
Timeline_of_musical_events	Timeline of musical events	works	1920s	36	57518			events			
Timeline_of_musical_events	Timeline of musical events	works	1950s	29	57518			events			
Timeline_of_musical_events	Timeline of musical events	works	1990s	15	57518			events			
United_States_in_the_1950s	United States in the 1950s	places	society in the us	71	42322			events			
United_States_in_the_1950s	United States in the 1950s	places	society in the us	71	42322			events			
1959	1959	other	events	19	37986			events			
1959	1959	other	events	22	37986			events			
1959	1959	other	events	34	37986			events			
1926	1926	other	births	70	26911			events			
1960_in_music	1960 in music	places	albums released	10	19306			events			
1959_in_music	1959 in music	works	albums released in alphabetical order	8	11240			events			
1959_in_music	1959 in music	works	events	6	11240			events			
1959_in_the_United_States	1959 in the United States	places	events	20	9997			events			
1991_in_the_United_States	1991 in the United States	places	first paragraph	0	8854			events			
1926_in_the_United_States	1926 in the United States	places	births	27	7115			events			
Timeline_of_music_in_the_United_States_(1920%E2%80%9349)	Timeline of music in the United States (1920–49)	places	1949	72	6407			events			
Grammy_Award_for_Best_Large_Jazz_Ensemble_Album	Grammy Award for Best Large Jazz Ensemble Album	works	1970s	32	5339			events			
Deaths_in_July_2005	Deaths in July 2005	people	7/1/2005	8	3755			events			
Timeline_of_music_in_the_United_States_(1950%E2%80%9369)	Timeline of music in the United States (1950–69)	places	1954	14	3375			events			
Timeline_of_music_in_the_United_States_(1950%E2%80%9369)	Timeline of music in the United States (1950–69)	places	1957	21	3375			events			
Timeline_of_music_in_the_United_States_(1950%E2%80%9369)	Timeline of music in the United States (1950–69)	places	1958	23	3375			events			
Timeline_of_music_in_the_United_States_(1950%E2%80%9369)	Timeline of music in the United States (1950–69)	places	1959	26	3375			events			
Timeline_of_music_in_the_United_States_(1950%E2%80%9369)	Timeline of music in the United States (1950–69)	places	1969	49	3375			events			
Deaths_in_June_2007	Deaths in June 2007	people	6/1/2007	38	2856			events			
Timeline_of_music_in_the_United_States_(1970%E2%80%93present)	Timeline of music in the United States (1970–present)	places	1970	4	2268			events			
History_of_music_in_Paris	History of music in Paris	other	postwar paris 19462000	264	1380			events			
1958_(disambiguation)	1958 (disambiguation)	other	first paragraph	0	209			events			
Scrooged	Scrooged	works	cast	19	188367			films			
A_Bronx_Tale	A Bronx Tale	works	production	20	163287			films			
English,_August_(film)	English, August (film)	works	plot summary	9	8156			films			
Waltz_for_Monica	Waltz for Monica	works	cast	9	2662			films			
Cry_of_Jazz	Cry of Jazz	works	jazz in 1959	34	1949			films			
Cry_of_Jazz	Cry of Jazz	works	jazz in 1959	34	1949			films			
A_Different_Kind_of_Blue	A Different Kind of Blue	works	first paragraph	0	1455			films			
A_Different_Kind_of_Blue	A Different Kind of Blue	works	first paragraph	0	1455			films			
Real_Gone_Cat	Real Gone Cat	works	trivia	13	390			films			
Miles_Ahead_(film)	Miles Ahead (film)	works	cast	6	67799			films			
Miles_Ahead_(film)	Miles Ahead (film)	works	first paragraph	0	67799			films			
Sorcerer_(film)	Sorcerer (film)	works	music	85	65013			films			
Sorcerer_(film)	Sorcerer (film)	works	title and themes	29	65013			films			
Spin_(magazine)	Spin (magazine)	works	history	7	39615			films			
Low_Down	Low Down	works	plot summary	8	35520			films			
Street_Smart_(film)	Street Smart (film)	works	background and reviews	12	29337			films			
The_Uninvited_(1944_film)	The Uninvited (1944 film)	works	music	23	27169			films			
Siesta_(film)	Siesta (film)	works	first paragraph	0	9106			films			
Siesta_(film)	Siesta (film)	works	production	9	9106			films			
Dingo_(film)	Dingo (film)	works	first paragraph	0	7954			films			
Dingo_(film)	Dingo (film)	works	first paragraph	0	7954			films			
Dingo_(film)	Dingo (film)	works	first paragraph	0	7954			films			
Kala_Pul	Kala Pul	works	music	13	840			films			
Jazz_standard	Jazz standard	genres	1950s and later	27	52903			genres			
Music_of_Belgium	Music of Belgium	other	jazz with the blues	18	21679			genres			
Music_of_Denver	Music of Denver	other	history	8	0			genres			
Alfred_%22Pee_Wee%22_Ellis	Alfred "Pee Wee" Ellis	other	biography	12	10848			musicians			
David_Gamson	David Gamson	other	first paragraph	0	4016			musicians			
Andy_%22Stoker%22_Growcott	Andy "Stoker" Growcott	other	first paragraph	0	2499			musicians			
Paul_Tingen	Paul Tingen	other	first paragraph	0	999			musicians			
Chris_Steinmetz	Chris Steinmetz	people	partial discography	15	930			musicians			
Frank_R._Fisher	Frank R. Fisher	other	career	4	813			musicians			
Feu!_Chatterton	Feu! Chatterton	other	influences	5	295			musicians			
Eugene_Haynes	Eugene Haynes	other	first paragraph	0	132			musicians			
Eugene_Haynes	Eugene Haynes	other	on karen blixen	19	132			musicians			
Bihari_Sharma	Bihari Sharma	other	first paragraph	0	97			musicians			
Harvey_Brooks_(bassist)	Harvey Brooks (bassist)	other	bluesrock and jazz fusion era	11	0			musicians			
Carolina_Calvache	Carolina Calvache	other	career	2	0			musicians			
Frank_Russell_(bassist)	Frank Russell (bassist)	other	career	8	0			musicians			
Harvey_Brooks_(bassist)	Harvey Brooks (bassist)	other	first paragraph	0	0			musicians			
Cigarettes_After_Sex	Cigarettes After Sex	other	musical style and influences	17	0			musicians			
Leon_%22Ndugu%22_Chancler	Leon "Ndugu" Chancler	other	discography	10	8946			musicians			
Leon_%22Ndugu%22_Chancler	Leon "Ndugu" Chancler	other	discography	11	8946			musicians			
Leon_%22Ndugu%22_Chancler	Leon "Ndugu" Chancler	other	first paragraph	0	8946			musicians			
Jimmy_Owens_(musician)	Jimmy Owens (musician)	musicians	1950s and 1960s	8	3307			musicians			
James_%22Tootie%22_Hogan	James "Tootie" Hogan	other	first paragraph	0	631			musicians			
Khalil_Balakrishna	Khalil Balakrishna	other	first paragraph	0	302			musicians			
Jimmy_%22Jammin%27%22_Smith	Jimmy "Jammin'" Smith	other	first paragraph	0	147			musicians			
Larry_Vuckovich	Larry Vuckovich	other	biography	3	0			musicians			
Luca_Aquino	Luca Aquino	other	life and career	6	0			musicians			
Film_noir	Film noir	genres	outside the united states	48	418177			other			
LP_record	LP record	events	playing time	48	377640			other			
Beats_Electronics	Beats Electronics	events	history	17	375099			other			
The_Cosby_Show	The Cosby Show	works	background and production	31	355978			other			
Miami_Vice	Miami Vice	works	cast	72	304078			other			
Miami_Vice	Miami Vice	works	production	24	304078			other			
List_of_Rock_and_Roll_Hall_of_Fame_inductees	List of Rock and Roll Hall of Fame inductees	works	inductees	10	294246			other			
Gramophone_record	Gramophone record	events	new sizes and materials	81	288210			other			
List_of_stars_on_the_Hollywood_Walk_of_Fame	List of stars on the Hollywood Walk of Fame	other	d	9	260087			other			
Double_bass	Double bass	genres	double bassists	204	250660			other			
Double_bass	Double bass	genres	use in jazz	161	250660			other			
Mod_(subculture)	Mod (subculture)	genres	characteristics	54	240728			other			
Columbia_Records	Columbia Records	musicians	history	49	235763			other			
Trumpet	Trumpet	genres	players	78	198326			other			
Trumpet	Trumpet	genres	trumpets in art	89	198326			other			
Beatnik	Beatnik	genres	beat culture	32	189433			other			
Capitol_Records	Capitol Records	musicians	history	25	178236			other			
Lamborghini_Miura	Lamborghini Miura	events	production history	25	174841			other			
List_of_deaths_in_rock_and_roll	List of deaths in rock and roll	musicians	1990s	17	173374			other			
Minor_scale	Minor scale	genres	harmonic minor scale	34	165471			other			
Warner_Bros._Records	Warner Bros. Records	musicians	history	106	160280			other			
French_horn	French horn	genres	in jazz	99	140378			other			
French_horn	French horn	genres	notable horn players	102	140378			other			
Porgy_and_Bess	Porgy and Bess	works	adaptations	135	137173			other			
Porgy_and_Bess	Porgy and Bess	works	adaptations	135	137173			other			
Tuba	Tuba	genres	jazz	51	134754			other			
Flugelhorn	Flugelhorn	genres	famous players	18	119825			other			
Music_of_the_United_States	Music of the United States	places	popular music	73	105430			other			
Music_of_the_United_States	Music of the United States	places	popular music	73	105430			other			
Music_of_the_United_States	Music of the United States	places	popular music	75	105430			other			
List_of_organisms_named_after_famous_people	List of organisms named after famous people	other	first paragraph	0	104438			other			
List_of_songs_about_New_York_City	List of songs about New York City	works	g	22	95173			other			
List_of_songs_about_New_York_City	List of songs about New York City	works	t	48	95173			other			
List_of_Juilliard_School_people	List of Juilliard School people	other	notable alumni	19	94188			other			
List_of_jazz_musicians	List of jazz musicians	musicians	first paragraph	0	86541			other			
List_of_jazz_musicians	List of jazz musicians	musicians	giants of jazz	7	86541			other			
List_of_biographical_films	List of biographical films	works	2010s	20	81882			other			
Nasty_Gal	Nasty Gal	companies	history	8	74452			other			
Music_of_Cuba	Music of Cuba	genres	diversification and popularization	291	69117			other			
Cool_(aesthetic)	Cool (aesthetic)	genres	regions	47	65676			other			
Dorian_mode	Dorian mode	genres	notable compositions in dorian mode	38	65349			other			
Dorian_mode	Dorian mode	genres	notable compositions in dorian mode	38	65349			other			
List_of_jazz_genres	List of jazz genres	genres	first paragraph	0	58650			other			
Bass_clarinet	Bass clarinet	genres	uses	40	58566			other			
List_of_foreign_recipients_of_the_L%C3%A9gion_d%27Honneur	List of foreign recipients of the Légion d'Honneur	other	united states	202	54541			other			
List_of_1960s_musical_artists	List of 1960s musical artists	events	kn	29	49551			other			
List_of_people_from_Illinois	List of people from Illinois	people	d	59	47762			other			
List_of_people_from_Illinois	List of people from Illinois	people	d	59	47762			other			
List_of_people_from_Illinois	List of people from Illinois	people	d	60	47762			other			
List_of_people_from_Michigan	List of people from Michigan	people	musicians and composers	61	46684			other			
Album_cover	Album cover	works	design	20	44196			other			
Lydian_mode	Lydian mode	genres	notable compositions in the lydian mode	26	41118			other			
Blue_Note_Records	Blue Note Records	musicians	history	15	40354			other			
Blue_Note_Records	Blue Note Records	musicians	history	19	40354			other			
Crime_Story_(TV_series)	Crime Story (TV series)	works	cast	46	39336			other			
St._Louis_Post-Dispatch	St. Louis Post-Dispatch	companies	history	24	38430			other			
National_Recording_Registry	National Recording Registry	places	2002	23	37059			other			
National_Recording_Registry	National Recording Registry	places	2002	23	37059			other			
List_of_people_from_St._Louis	List of people from St. Louis	people	d	10	34527			other			
List_of_songs_about_Los_Angeles	List of songs about Los Angeles	works	songs	14	34210			other			
List_of_1930s_jazz_standards	List of 1930s jazz standards	events	1935	24	33860			other			
List_of_1920s_jazz_standards	List of 1920s jazz standards	events	19241925	15	33662			other			
List_of_1920s_jazz_standards	List of 1920s jazz standards	events	19261927	18	33662			other			
Ben_Sherman	Ben Sherman	companies	history	6	33281			other			
Frank_Sinatra%27s_recorded_legacy	Frank Sinatra's recorded legacy	musicians	genres	16	32963			other			
Coltrane_changes	Coltrane changes	genres	first paragraph	0	31178			other			
List_of_Music_Choice_channels	List of Music Choice channels	other	list of current music choice channels	22	30745			other			
List_of_funk_musicians	List of funk musicians	musicians	d	12	30605			other			
List_of_songs_about_Paris	List of songs about Paris	works	first paragraph	0	28476			other			
List_of_Columbia_Records_artists	List of Columbia Records artists	musicians	d	14	28260			other			
List_of_people_in_Playboy_1970%E2%80%9379	List of people in Playboy 1970–79	events	1978	23	28178			other			
List_of_jazz_trumpeters	List of jazz trumpeters	musicians	d	9	27972			other			
List_of_avant-garde_artists	List of avant-garde artists	people	avant garde jazz composers performance artists	21	27946			other			
Music_of_Ohio	Music of Ohio	places	jazz	15	27143			other			
Farfisa	Farfisa	companies	history	23	27107			other			
List_of_Telecaster_players	List of Telecaster players	musicians	qz	16	26779			other			
List_of_concept_albums	List of concept albums	works	d	12	25907			other			
Double_harmonic_scale	Double harmonic scale	genres	first paragraph	0	25848			other			
List_of_bass_guitarists	List of bass guitarists	musicians	b	9	25403			other			
List_of_bass_guitarists	List of bass guitarists	musicians	b	9	25403			other			
List_of_bass_guitarists	List of bass guitarists	musicians	m	36	25403			other			
List_of_jazz_bassists	List of jazz bassists	musicians	first paragraph	0	25264			other			
List_of_jazz_bassists	List of jazz bassists	musicians	g	32	25264			other			
List_of_jazz_bassists	List of jazz bassists	musicians	l	46	25264			other			
Jazz_guitar	Jazz guitar	musicians	history	18	23542			other			
Legacy_Recordings	Legacy Recordings	musicians	list of notable artists	17	23008			other			
Monster_Cable	Monster Cable	companies	history	25	22437			other			
List_of_cover_versions_of_Michael_Jackson_songs	List of cover versions of Michael Jackson songs	works	m	32	22388			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	trumpeters and flugelhornists	17	22325			other			
Jazz_(TV_series)	Jazz (TV series)	works	compilation albums	27	22206			other			
Jazz_(TV_series)	Jazz (TV series)	works	episodes	12	22206			other			
Jazz_(TV_series)	Jazz (TV series)	works	first paragraph	0	22206			other			
Jazz_(TV_series)	Jazz (TV series)	works	overview	8	22206			other			
List_of_child_music_prodigies	List of child music prodigies	musicians	nonclassical genres	29	22051			other			
Oris_(company)	Oris (company)	companies	celebrity endorsements	25	21075			other			
List_of_Italian-American_entertainers	List of Italian-American entertainers	people	musicians	16	20903			other			
List_of_film_score_composers	List of film score composers	musicians	d	9	20671			other			
Music_of_the_United_Kingdom_(1970s)	Music of the United Kingdom (1970s)	events	jazz	60	20376			other			
Gatefold	Gatefold	works	notable gatefold releases	14	20085			other			
Jazz_drumming	Jazz drumming	musicians	modern jazz drumming	55	19366			other			
List_of_musicians_of_the_1950s	List of musicians of the 1950s	events	musicians	11	19252			other			
List_of_people_in_Playboy_1960%E2%80%9369	List of people in Playboy 1960–69	events	1962	12	19079			other			
Down_Beat	Down Beat	works	awards	14	17947			other			
List_of_Hammond_organ_players	List of Hammond organ players	musicians	d	14	17498			other			
Jazz_piano	Jazz piano	musicians	technique	19	17394			other			
List_of_1940s_jazz_standards	List of 1940s jazz standards	events	1947	26	17165			other			
Harmonization	Harmonization	genres	reharmonization	18	16727			other			
Harmonization	Harmonization	genres	reharmonization	35	16727			other			
List_of_people_on_the_cover_of_Rolling_Stone	List of people on the cover of Rolling Stone	musicians	individuals	14	16055			other			
Quintet	Quintet	musicians	notable quintets	12	15664			other			
Quintet	Quintet	musicians	notable quintets	12	15664			other			
Quintet	Quintet	musicians	notable quintets	12	15664			other			
Quintet	Quintet	musicians	notable quintets	12	15664			other			
List_of_Miami_Vice_guest_appearances	List of Miami Vice guest appearances	other	season 2	6	15644			other			
German_horn	German horn	genres	notable horn players	82	15636			other			
Culture_of_Pittsburgh	Culture of Pittsburgh	genres	music	55	15431			other			
Cu%C3%ADca	Cuíca	genres	in popular music	19	14660			other			
Cu%C3%ADca	Cuíca	genres	in popular music	19	14660			other			
Extended_technique	Extended technique	genres	notable performers	62	14255			other			
Jazz_improvisation	Jazz improvisation	genres	first paragraph	0	13717			other			
Jazz_improvisation	Jazz improvisation	genres	first paragraph	0	13717			other			
Jazz_improvisation	Jazz improvisation	genres	first paragraph	0	13717			other			
List_of_Capitol_Records_artists	List of Capitol Records artists	musicians	d	13	13595			other			
List_of_pre-1920_jazz_standards	List of pre-1920 jazz standards	genres	19151917	19	13472			other			
List_of_Ibanez_players	List of Ibanez players	musicians	qz	14	13081			other			
List_of_jazz_contrafacts	List of jazz contrafacts	genres	first paragraph	0	12874			other			
List_of_jazz_contrafacts	List of jazz contrafacts	genres	first paragraph	0	12874			other			
List_of_jazz_contrafacts	List of jazz contrafacts	genres	first paragraph	0	12874			other			
List_of_jazz_contrafacts	List of jazz contrafacts	genres	first paragraph	0	12874			other			
List_of_jazz_contrafacts	List of jazz contrafacts	genres	first paragraph	0	12874			other			
List_of_jazz_contrafacts	List of jazz contrafacts	genres	first paragraph	0	12874			other			
List_of_jazz_contrafacts	List of jazz contrafacts	genres	first paragraph	0	12874			other			
List_of_jazz_contrafacts	List of jazz contrafacts	genres	first paragraph	0	12874			other			
List_of_trumpeters	List of trumpeters	musicians	jazz and commercial players	4	12747			other			
Music_of_Illinois	Music of Illinois	musicians	jazz	13	12494			other			
Music_of_Illinois	Music of Illinois	musicians	rock and roll	23	12494			other			
Sonor	Sonor	companies	endorsers	18	12191			other			
List_of_people_on_the_postage_stamps_of_the_United_States	List of people on the postage stamps of the United States	places	d	58	11565			other			
Cross-beat	Cross-beat	genres	jazz	90	11385			other			
UK_Music_Hall_of_Fame	UK Music Hall of Fame	events	2004 inductees	11	11195			other			
List_of_Saturday_Night_Live_guests_(A%E2%80%93D)	List of Saturday Night Live guests (A–D)	other	d	14	10912			other			
Contrafact	Contrafact	genres	examples	11	10689			other			
Impulse!_Records	Impulse! Records	musicians	history	15	10672			other			
Impulse!_Records	Impulse! Records	musicians	history	15	10672			other			
Prince_of_Darkness	Prince of Darkness	other	music	16	10604			other			
Prince_of_Darkness	Prince of Darkness	other	people	4	10604			other			
List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	195054	11	10221			other			
List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	195054	12	10221			other			
List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	195054	12	10221			other			
List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	195559	14	10221			other			
List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	195559	14	10221			other			
List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	195559	14	10221			other			
List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	195559	14	10221			other			
List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	195559	14	10221			other			
List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	196064	16	10221			other			
List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	first paragraph	0	10221			other			
List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	first paragraph	0	10221			other			
List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	first paragraph	0	10221			other			
List_of_Grateful_Dead_cover_versions	List of Grateful Dead cover versions	works	first paragraph	0	10050			other			
Jazz_royalty	Jazz royalty	musicians	titles	23	9806			other			
List_of_cool_jazz_and_West_Coast_jazz_musicians	List of cool jazz and West Coast jazz musicians	musicians	list	11	9777			other			
Local_on_the_8s	Local on the 8s	other	music	32	9253			other			
List_of_Grammy_Hall_of_Fame_Award_recipients_(A%E2%80%93D)	List of Grammy Hall of Fame Award recipients (A–D)	other	alphabetical listing by title	2	9211			other			
List_of_Grammy_Hall_of_Fame_Award_recipients_(A%E2%80%93D)	List of Grammy Hall of Fame Award recipients (A–D)	other	alphabetical listing by title	2	9211			other			
List_of_NME_covers	List of NME covers	works	1985	43	8972			other			
List_of_rock_albums	List of rock albums	works	d	9	8972			other			
Jazz_guitarist	Jazz guitarist	musicians	1970s and 1980s	30	8960			other			
Jazz_guitarist	Jazz guitarist	musicians	1970s and 1980s	30	8960			other			
Concord_Bicycle_Music	Concord Bicycle Music	musicians	first paragraph	0	8917			other			
Prestige_Records	Prestige Records	musicians	history	8	8862			other			
Prestige_Records	Prestige Records	musicians	history	8	8862			other			
List_of_nicknames_of_jazz_musicians	List of nicknames of jazz musicians	musicians	list of jazz nicknames	30	8597			other			
List_of_nicknames_of_jazz_musicians	List of nicknames of jazz musicians	musicians	list of jazz nicknames	36	8597			other			
Musical_quotation	Musical quotation	genres	examples	12	8594			other			
Musical_quotation	Musical quotation	genres	sources	15	8594			other			
List_of_tribute_albums	List of tribute albums	works	d	11	8410			other			
List_of_minor_planets_named_after_people	List of minor planets named after people	other	entertainment	91	8393			other			
List_of_people_from_East_St._Louis,_Illinois	List of people from East St. Louis, Illinois	people	media and arts	8	8288			other			
List_of_2007_albums	List of 2007 albums	works	october	24	7778			other			
List_of_2007_albums	List of 2007 albums	works	october	24	7778			other			
ITunes_LP	ITunes LP	events	itunes lp list	19	7423			other			
Jazz_violin	Jazz violin	genres	history	16	7399			other			
List_of_bebop_musicians	List of bebop musicians	musicians	d	10	7351			other			
Sunday_Night_(American_TV_program)	Sunday Night (American TV program)	works	episodes	15	7310			other			
Sunday_Night_(American_TV_program)	Sunday Night (American TV program)	works	episodes	15	7310			other			
So_What_chord	So What chord	genres	first paragraph	0	7260			other			
List_of_University_of_California,_Irvine_people	List of University of California, Irvine people	other	students and alumni	14	7251			other			
Jazz_bass	Jazz bass	genres	double bass	13	6929			other			
Jazz_bass	Jazz bass	genres	double bass	13	6929			other			
Jazz_bass	Jazz bass	genres	double bass	13	6929			other			
Jazz_bass	Jazz bass	genres	double bass	13	6929			other			
List_of_double_albums	List of double albums	works	d	12	6591			other			
List_of_double_albums	List of double albums	works	d	12	6591			other			
Secret_Agent_Man_(TV_series)	Secret Agent Man (TV series)	works	first paragraph	0	6574			other			
Brew_Masters	Brew Masters	works	episodes	14	6515			other			
List_of_Phish_cover_versions	List of Phish cover versions	works	ad	8	6482			other			
List_of_Phish_cover_versions	List of Phish cover versions	works	ad	8	6482			other			
Orchestra_hit	Orchestra hit	genres	history	10	5829			other			
List_of_former_Warner_Bros._Records_artists	List of former Warner Bros. Records artists	people	d	11	5700			other			
Children_of_Passions	Children of Passions	people	miles harriscrane	28	5563			other			
Children_of_Passions	Children of Passions	people	miles harriscrane	28	5563			other			
Fantasy_Studios	Fantasy Studios	companies	today	35	5311			other			
List_of_Grammy_Hall_of_Fame_Award_recipients_(J%E2%80%93P)	List of Grammy Hall of Fame Award recipients (J–P)	other	alphabetical listing by title	2	5141			other			
List_of_Grammy_Hall_of_Fame_Award_recipients_(J%E2%80%93P)	List of Grammy Hall of Fame Award recipients (J–P)	other	alphabetical listing by title	2	5141			other			
List_of_Grammy_Hall_of_Fame_Award_recipients_(J%E2%80%93P)	List of Grammy Hall of Fame Award recipients (J–P)	other	alphabetical listing by title	2	5141			other			
Theme_Time_Radio_Hour_(season_1)	Theme Time Radio Hour (season 1)	works	season 1  episodes 1 to 50	147	4819			other			
Watkins_Electric_Music	Watkins Electric Music	companies	first paragraph	0	4794			other			
Ahmadiyya_in_the_United_States	Ahmadiyya in the United States	places	influence	57	4642			other			
Fame_in_the_20th_Century	Fame in the 20th Century	works	celebrities portrayed in the series	29	4550			other			
Music_of_Missouri	Music of Missouri	places	jazz	13	4478			other			
Music_of_Missouri	Music of Missouri	places	jazz	13	4478			other			
List_of_Grammy_Hall_of_Fame_Award_recipients_(Q%E2%80%93Z)	List of Grammy Hall of Fame Award recipients (Q–Z)	other	alphabetical listing by title	2	4462			other			
Contemporary_Records	Contemporary Records	musicians	discography	15	4448			other			
List_of_hard_bop_musicians	List of hard bop musicians	musicians	d	9	4358			other			
List_of_hard_bop_musicians	List of hard bop musicians	musicians	first paragraph	0	4358			other			
List_of_dentists	List of dentists	other	reallife dentists	3	4352			other			
Culture_of_St._Louis	Culture of St. Louis	genres	music and the performing arts	18	4104			other			
List_of_The_Best_Show_with_Tom_Scharpling_episodes	List of The Best Show with Tom Scharpling episodes	works	list of wfmuera best show episodes	16	4051			other			
List_of_The_Best_Show_with_Tom_Scharpling_episodes	List of The Best Show with Tom Scharpling episodes	works	list of wfmuera best show episodes	20	4051			other			
List_of_Grammy_Hall_of_Fame_Award_recipients_(E%E2%80%93I)	List of Grammy Hall of Fame Award recipients (E–I)	other	alphabetical listing by title	2	4008			other			
List_of_people_with_surname_Davis	List of people with surname Davis	other	m	29	3978			other			
List_of_triple_albums	List of triple albums	works	d	10	3962			other			
List_of_triple_albums	List of triple albums	works	d	10	3962			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
Private_Passions	Private Passions	genres	guest list	5	3933			other			
